date,type,header,text,video,photo,Credit_photo/video,coordinates,coordinates_text,map_poly,map_lines,map_points,focus_point,zoom,idToShow
2022-02-28,war,Знищення російського генерал-майора,"28 лютого бійці «АЗОВа», вирушили в розвідку в сіру зону північніше аглофабрики, побачивши сліди групи ворога на території комбінату, почали його відстежувати. Приблизно через годину вони зустріли і знищили шістьох росіян, підловивши їх біля однієї з будівель. Потім знешкодили ще 15, серед яких був згаданий вище заступник командувача 41-ї загальновійськової армії Центрального військового округу генерал-майор Андрій Суховецький. 
Він помер від поранення у легені, хоча азовці намагалися його реанімувати, як цінного полоненого. 
Пізніше вони знищили ще одну, більш досвідчену ворожу групу, яка, очевидно підійшла на пошуки зниклого генерала. Азовцям також вдалося полонити російського снайпера.",,suchov.jpg,,"47.210292, 37.560121",,,,,"47.11, 37.57",12,
2022-03-01,civil,Світла не буде,"Всю ніч на 1 березня енергетики намагалися відновити електропостачання у місті. І вранці навіть мали певні успіхи.
Але вранці росіяни знову завдали ракетних ударів по критичній інфраструктурі міста. Після цього відновити електрику було вже неможливо.

",,,,,,,,,"47.11, 37.57",12,
2022-03-01,war,"""Морпіхи сказали евакуюватися з Сартани""","– В ніч на перше березня мене розбудила сусідка, попередивши, що біля будинку ходять військові, – розповідає Наталя Козуб, яка мешкала на околиці Сартани. Її син служив в ОЗСП “АЗОВ”, а чоловік - у 503 ОБМП.
 – Я, маючи досвід Сніжного 2014-го року, спала вдягненою і одразу вийшла на вулицю, де побачила наших морпіхів – молодих хлопців із синім скотчем на одязі, які приїхали на Humvee. Вони сказали будити інших сусідів і всім разом їхати у глибину міста, бо ворог витиснув їх з Сартани і тепер можуть початись бої у нашому районі”. 
Наталя віддала морпіхам бронежилети, каски, карімати, розгрузки та інше спорядження з припасів її сина і чоловіка. Вона виїхала, а морпіхи зайняли її будинок.",,Kozub_son.jpg,Наталія Козуб з сином,,,,,,,,
2022-03-01,war,"""Зведені загони"" оборони","Після відходу підрозділів 36 ОБрМП з району Піщовика втримання лінії оборонив 7 кілометрах на схід від міста втрачає сенс через майже 100-відсоткову гарантію оточення – оборонці Маріуполя закріпляються на сході та північному сході міста, у 2,5 км від селища Сартана. 
",,,,"47.165659, 37.648187",Позиції оборонців після відкходу з Сартани,,,,"47.11, 37.57",12,
2022-03-01,war,Сектори оборони,"На цей час місто умовно ділилось на сектори оборони, але не було жодного сектору, контрольованого конкретним підрозділом – левова частина діючих груп були «зведеними загонами». Єдиним відносно монолітним підрозділом, закріпленим за своїм сектором, був перший батальон ОЗСП «АЗОВ», хоча з ними також були представники інших частин (мікрорайон “Східний” разом із азовцями втримував 74-й окремий розвідувальний батальон зі своєю бронетехнікою). Тому на схемі секторів ми показуємо лише ключові підрозділи, які ці сектори контролювали.

ОЗСП «АЗОВ» веде бої у селищі Старий Крим, через який ворог намагається увійти до Кальміуського району міста.",,,,,,districts.geojson,,,,,
2022-03-04,civil,Убито сотні цивільних,"У місті внаслідок обстрілів вбито сотні мирних мешканців, вони лежать просто на вулицях, збирати і ховати тіла немає кому. Знищено багато об’єктів інфраструктури. Спроби евакуації цивільного населення зриваються через постійний артилерійський вогонь.",,0303epicentr.jpg,"Ранок 3 березня. Наслідки 17-23 мікрорайонів, вулиці Купріна, торгівельних центрів ""Епіцентр"", ""Сільпо""","47.09799, 37.50302",,,,,"47.11, 37.57",12,
2022-03-04,war,Українські бійці залишили аеропорт,"Тривають важкі бої на підступах до Маріуполя, в першу чергу – на півночі та сході. Українські бійці залишають аеропорт, який протягом восьми років був однією з головних баз сил захисту міста.
На південному заході 4 березня в місто також заходить кілька ворожих танків, але без підтримки піхоти – вони хаотично їздять в районі Черьомушек, обстрілюючи будинки. Один з танків, збивши стовп ЛЕП, заплутався у дротах, екіпаж втік. Оборонці швидко відновили контроль над цим районом. 

У місті внаслідок обстрілів вбито сотні цивільних, знищено багато об’єктів інфраструктури. Спроби евакуації цивільного населення зриваються через постійний артилерійський вогонь.",,,,"47.064579,37.474683",,,,,"47.11, 37.57",12,
2022-03-06,war,Бій на цегляному заводі,"Напередодні сили оборони відступили з цегляного заводу на околиці міста, впустивши туди батальйонно-тактичну групу ворога (належала до 102-го полку 150 МСД). Танкісти «АЗОВу» з пагорбу за територією завдали артилерійського удару по росіянах, знищивши танк і БМП та пошкодивши ще кілька бойових машин у промзоні заводу. 
Після цього на позиції зайшла піхота за підтримки двох Т-64Б1М полку «АЗОВ» та одного або двох Т-80 36-ї ОБрМП. Їм вдалося захопити два Т-72Б3 (пізніше Денис Прокопенко опублікував фото на фоні цих машин). ",,photo_2023-03-01_22-36-09.jpg,,,,,,,"47.11, 37.57",12,
2022-03-06,war,,"Після операції наші сили відійшли, а ще за день опублікували відео із росіянами, які збирали трупи на території заводу. 
Поміж населеними пунктами Мангуш та Нікольське ворожа ДРГ атакувала українську колону, в якій їхали два «Урагани» та кілька автомобілів батальйону «Айдар». Автомобілі знищили, системи залпового вогню захопив ворог. Один боєць «Айдару» потрапив у полон, отримавши важке поранення під час бою.",,,,"47.085662, 37.489579",Цегляний завод,,,,,,
2022-03-07,civil,Сподівання на евакуацію,"Цивільні збираються біля драмтеатру. Саме тут мали формуватись евакуаційні колони, і саме тут розпитували поліцію, що і як робити. В умовах відсутності зв’язку тут спілкувалися, дізнавалися новини та зустрічалися із знайомими та родичами. У драмтеатрі, як і в деяких інших місцях, завдяки самоорганізації діяв пункт обігріву та харчування.",,,,,,,,,"47.11, 37.57",12,
2022-03-07,war,"Ворожа піхота поблизу ""Східного""","Ворогу не вдається пробити оборону на мікрорайоні “Східний”, проте окремі групи проходять на завод «Сателіт» (на 1 км північніше Східного). Тим часом через селище Виноградне вздовж моря на східну межу міста заходить ворожа піхота і бронетехніка, охоплюючи мікрорайон Східний з півдня.",satelite_short.mp4,,,"47.132262, 37.672513

",завод Сателіт,districts.geojson,,,"47.11, 37.57",12,
2022-03-08,war,Бій у Покровському,"Росіяни продовжують намацувати слабкі місця в обороні міста, проте захисники продовжують відбиватися. 
Показовий епізод – бій у Покровському, на південно-західній околиці Маріуполя. Український БТР-4 ""Буцефал"" полку ""АЗОВ""  знищує БМП-1 та танк Т-72Б3 окупантів, потім піхота зачищає вулиці, знищуючи тих, хто уцілів.
Пізніше цього дня саме через Покровське росіяни намагались увійти в місто величезною колоною під час припинення вогню та організації зеленого коридору. 
",,,,"47.045756, 37.476584","Місце, де відбувався бій у Покровському",districts.geojson,,,"47.11, 37.57",12,
2022-03-09,civil,Росіяни вдарили по лікарні й пологовому,"Один з найтрагічніших днів в історії оборони Маріуполя. Цього дня росіяни нанесли авіаудар по дитячій лікарні та пологовому будинку, розташованих у самому центрі міста, повідомивши, що там базувалися українські військові, але це було неправдою.",0903_hospital.mp4,,Наслідки удару по пологовому будинку в Маріуполі,"47.09647, 37.53479",,,,,"47.11, 37.57",12,
2022-03-09,war,"""ДНРівці"" в оточенні поблизу ""Східного""","З Калинівки до заводу «Сателіт» продовжує рухатись ворожа піхота та бронетехніка (у тому числі - танки) ворога. 
Того дня зрадник Олександр Ходаковський, що воює на боці ДНР з 2014 року повідомив, що російській 11 Гв. ОСМП «вдалося зачепитись за мікрорайон Східний». Азовці дійсно впустили групу в район забудови групу ворога, яка йшла з захопленого раніше заводу «Сателіт» і відрізали її. Днр-вці залишались в оточенні більше тижня. І це був не мікрорайон Східний, а багатоповерхівки, розташовані значно далі на північний захід.",,05march.jpg ,,"47.128371, 37.673513","Приватний сектор поблизу мікрорайону ""Східний"", де ""АЗОВці"" взяли в оточення ДНР-івців",districts.geojson,,,"47.11, 37.57",12,
2022-03-11,war,Ворог атакує з заходу,"Ворожі танки з’явилися на західних межах міста. Вони вже не рухалися колонами, а шукали слабкі місця в обороні і знищували позиції захисників на відстані, не наближаючись до блокпостів. Так відбулося і поблизу блокпосту біля «Metro», який росіяни просто обійшли, і південніше, де танки обстрілювали забудову на вулиці Купріна. 

",,,,"47.127117, 37.489462",Блокпост ,11_03_poly.geojson,,11_03_points.geojson,"47.127117, 37.489462",14,
2022-03-11,,Поворот на Старий Крим,"«Блокпост, який контролював трасу на Нікольське і поворот на Старий Крим, охоронявся приблизно сотнею бійців, – розповідає боєць 107 бригади тероборони про бій, що відбувся 11 березня. – Більшість були нацгвардійцями. О шостій ранку ми втрьох заступили на чергування по блокпосту, чергували ми по дві години через чотири.
",,,,,,,,,,,
,,Окопи і бетонні блоки біля перехрестя," ""Я був старшим групи, одного бійця відправив на лівий фланг, де, за бетоним парканом вздовж дороги, був невеличкий пагорб, з якого проглядалося поле поміж Нікольским шосе та «Metro». Другого залишив у центрі позиції спостерігати за трасою, а сам пішов на правий - спостерігати за приватним сектором. На той момент від блокпосту після танкового обстрілу залишалося лише пара бетонних блоків, складені один на одний посеред дороги та кілька уламків поруч. Біля перехрестя, звідки дорога вела на Старий Крим, нацгвардійці вирили окоп"".",,,,,точка метро ,,,,,,
2022-03-11,,"Фугас, акумулятор, АК, гранати й ""мухи""","З озброєння в нас було три АК и три «мухи» (РПГ-18). Плюс пара гранат, рація, тепловізор і, головне, - заритий в землю далі по трасі 150-кілограмовий фугас, від якого до нас тягнувся шнур із оголеними кінцями. У випадку наближення танка треба було з`єднати кінці шнура з клемами автомобільного акумулятора. Температура вночі падала, заряд також. Тому електроімпульсу могло не вистачити для підриву. Зберігати акумулятор у теплі не можна було, бо у випадку атаки часу бігти за ним за 100 метрів у нас точно не було б, тому його тримали біля шнура. ",,,,"47.127117, 37.489463",блокпост,,,,,,
2022-03-11,,Ранкова атака,"Близько 7-ї ранку, у передсвітанкових сутінках я побачив у бінокль щось незрозуміле на трасі. Викликав по рації базу, повідомив, що бачу на трасі «коробку», спитав дозволу на підрив. Дроти вже тримав над клемами. По рації запитали, чи рухається танк. Я відповів, що ні, мені сказали зачекати. Через секунду з’явився один з командирів – азовець із позивним «Єгєрь».

Він довго розглядав це “щось” у бінокль, сказав не підривати: «Надто далеко, не зачепить». О восьмій ранку нас змінили. І тут почалась атака. 
Росіяни продавали вогнем позиції морпіхів на Metro і танки пішли полем вздовж траси лівіше блокпосту українців.",,,,,Метро,,,,,,
2022-03-11,war,Російські танки обійшли блокпост,"

-- Бронетехніка пройшла повз нас у бік міста, ми рили окопи вздовж дороги, очікуючи на піхотну атаку, -- пригадує один з оборонців. -- Копали приблизно з дев’ятої ранку до дванадцятої. Але атаки не було. На повітряні тривоги уваги майже не звертали. Всі були розгублені та пригнічені. ",,,,"47.127117, 37.489463",блокпост,11_03_poly.geojson,,11_03_points.geojson,"47.11, 37.57",12,
2022-03-11,,Відступ до школи №67,"Азовець із позивним “Фізрук”, кричав, показуючи на нас: «Бл@дь, ці ж потім також розповідатимуть, що воювали!» Потім з’явився інший азовець з позивним “Каспер”. Я спитав: «Шо там?» Він відповів: «Нам п@зда». 

“Єгєрь” та “Фізрук” наказали нам відходити, роззосередившись, до 67-ї школи. Вони залишились на блокпосту. З сотні наших місцевість знали тільки я і ще один хлопець.",,,,,школа 67,,,,,,
2022-03-11,war,Кругова оборона ,"Бійці відходили з блокпосту до школи №67 групою приблизно у 30 осіб. Їх ніхто не переслідував. Лише з боку Старого Криму кілька разів прилітала неприцільна стрілкотня. 
У школі вже палав верхній поверх. На єдиному вцілілому бусику звідти евакуйовували жінок і поранених. 

-- Ми зайняли кругову оборону, -- згадує один з бійців. - Хтось прокричав, що зараз підходитиме ще одна наша група із пораненими. Через кілька хвилин у двір заїхав БТР і почав розстрілювати школу з автоматичної гармати. Можливо, був ще один БТР, який бив по нас з боку бульвара Шевченка. Обстріл був коротким, але спровокував серйозну пожежу і задимлення, нам довелося вибігти назовні. 

",,,,,,11_03_poly.geojson,,11_03_points.geojson,"47.11, 37.57",12,
2022-03-11,war,Відступ в бік 21-го мікрорайону,"БТР вже поїхав, хтось сказав, що треба відступати в бік центру, командирів не було. 
Наші дві машини вціліли і стояли поруч, але мені здалося надто ризикованим їхати на авто містом, по якому їздять БТРи ворога.
Ми пішли в бік 21-го мікрорайону, хтось вирушив до 64-ї школи, де також базувались наші сили. Повз нас пройшла група морпіхів із NLAW…»",,,,,,,,,,,
2022-03-11,war,,"Ще одну історію, що бої, які точилися в Маріуполі 11-12 березня, розповів розвідник Руслан Пустовойт. Він зі своєю групою не підпорядковувався жодному маріупольських підрозділів на момент початку війни і приєднався до знайомих бійців з 73-го морського центру проведення спеціальних операцій. 

– За нами закріпили відрізок від проспекту Миру до обласної лікарні, -- розповідає він У моїй групі було 10-11 бійців із автоматами та кількома РПГ. До речі, велика кількість морських мін на околицях міста – це результат роботи 73-го центру. В нас не було єдиної думки щодо їх застосування. Коли я наполягав на негайному підриві усіх мостів, керівництво вважало, що з цим варто зачекати.
А потім підірвати їх під щільними артобстрілами вже було неможливо.
",,,,,,11_03_poly.geojson,,11_03_points.geojson,"47.11, 37.57",12,
,,Танк розстрілює багатоповерхівки на Купріна,"11 березня нас, двох піхотинців, біля багатоповерхівок на вулиці Купріна, з поля помітив танк. І відстріляв по нас близько сорока снарядів. 
Танк перезаряджався, повертався і знову розстрілював ці нещасні багатоповерхівки на Купріна. Хоча звідти навіть ніхто не стріляв у відповідь. Головною силою в тому районі була штатна група 73 МЦПСО, яка була на передньому краї. Ми ж мали при необхідності підтримувати тих, хто був у другій лінії. ",,,,"47.10314, 37.50846",Багатоповерхівки на обстріляній з танків вулиці Купріна,,,,,,
2022-03-11,war,Атака на перехресті Купріна і Митрополитської,"12-го березня росіяни пішли у масовану атаку на цій ділянці – із танками, БТР-ми та піхотою. Українські бійці приїхали на перехрестя вулиці Купріна та Митрополитської. Там вже другий день поспіль їздили російські Т-72, які рандомно обстрілювали багатоповерхівки.

- Ми об’єднались з тими, хто вже стояв на позиціях (а там були молоді азовці, нацгвадійці та хтось з ДПСУ), - розповідає Пустовойт, - і почався бій. По російському Т-72, який під’їхав на перехрестя, почали палити з кількох точок, у тому числі – з багатоповерхівки. Танк вибухнув, башта відлетіла. В цей час молодий прикордонник знищив російський БТР-82А, але отримав смертельне поранення у груди. Його тіло потім евакуювали нацгвардійці. 
",,,,"47.10795, 37.50991",Перехрестя вулиць Купріна і Митрополитської,,,11_03_points.geojson,"47.11, 37.57",12,
2022-03-11,war,,"Згодом з’явився ще один БТР із десантом, який рухався у бік обласної лікарні. Володимир Малецький, боєць нашого підрозділу, вистрілив з РПГ у задню частину цього БТРа, російський десант розбігся по приватному сектору, і вже там наші хлопці їх добивали. Всі були на шаленому куражі, настрій був просто прекрасний».",,,,,,11_03_poly.geojson,,,,,
2022-03-12,civil,Авіаудари по центру міста ,12 березня авіаударами по центру міста знищено Будинок зв’язку – маріупольський головпоштамт. Пошкоджено велику кількість будинків навколо нього.,,,,"47.09766, 37.5386", Будинок зв'язку,,,,"47.11, 37.57",12,
2022-03-13,war,Ворожа техніка в тилу,"В глибокий тил українців зайшла колона російських БТР, “Тигрів” та Тайфунів 22-ї бригади спеціального призначення ГРУ (60-80 бійців). Поки тривають бої на околицях, російські спецназівці опиняються в ста метрах від комбінату «Азовсталь», фактично на березі ріки Кальміус, яка розподіляє місто на Правий та Лівий береги. Вони займають будинок на провулку Граверному, після чого їх накриває гаубичний вогонь артилерістів «АЗОВ».",,,,"47.114065, 37.615876","Провулок Граверний, куди прорвалася ворожа колона",,,,"47.11, 37.57",12,
2022-03-14,war,,"

На сході Маріуполя «міліція ДНР» крізь приватний сектор пробивається до багатоповерхівок лівобережжя в районі Собору архистратига Михаїла.
",,,,"47.098570, 37.659856

","Приватний сектор, де ворожий підрозділ пробивався до Лівобережного району",districts.geojson,,,"47.11, 37.57",12,
2022-03-14,war,"Обстріл багатоповерхівок в районі ""Епіцентра""","На заході в районі ""Епіцентру"", по вулиці Флотській та по вулиці Купріна просунутись окупантам не вдається, тому вони просто знищують тамтешні багатоповерхівки.",Флотська Сільпо Епіцентр.mp4,,,,,,,,,,
2022-03-15,civil,Перша евакуаційна колона,"У цей день з Маріуполя вдалось виїхати першій колоні автомобілів із цивільними - за приблизними підрахунками з пекла боїв врятувалось 20 000 осіб. На вулицях у центрі міста лежали загиблі, тіла не було кому забирати. 
Містяни поспішно вантажили речі у свої авто.",,,,,,,,,"47.11, 37.57",12,
2022-03-15,war,Штурм порту,"Почалися обстріли і штурм, ракетою вражено радіолокаційну станцію судна «Лубни», дрон б’є по броньованому катеру «Кременчук».  Особовий склад 9 ДнНК виїхав з порту до бази НГУ на вулиці Нахімова, де їх «приписали» до 12 БрОП (12 бригада оперативного призначення Нацгвардії України). Екіпаж «Донбасу» розкидали по позиціях в місті, а екіпажі катерів (10 осіб) повернулися в порт.

",,,,"47.055475, 37.505733",Маріупольський порт,,,port_points.geojson,"47.11, 37.57",12,
2022-03-15,war,"Керівник оборони порту ""загубився""","Як розповідав один з членів екіпажу пошуково-рятувального судна «Донбас», 24 лютого з 50 осіб екіпажу «Донбасу» залишилось приблизно 40. Інші десять «загубились» разом із капітаном судна Олександром Григоревським, який залишив місто. «Загубився» і Олексій Корецький, який відповідав за оборону порту. 

Окупанти, вочевидь, намагались зберегти порт цілим, але два тижні настільки потужної оборони міста дали зрозуміти, що воювати доведеться за кожен об’єкт. ",,ships.jpg,,,,port_poly.geojson,,,,,
2022-03-16,war,Авіаудар по маріупольському драмтеатру,"16 березня приблизно о 10 годині ранку російська авіація нанесла бомбовий удар по драмтеатру. Саме тут, в центрі міста, щодня збирались сотні цивільних, які могли обігрітись, отримати від волонтерів їжу і теплі речі, а також дізнатись про можливість евакуації. Один з працівників сцени зробив на площах з обох боків будівлі величезні написи «ДІТИ». За результатами розслідування, яке було проведено агенцією Associated Press, кількість загиблих орієнтовно складає біля 600 осіб. 
О 15.05 один з провідних телеграм-каналів окупантів повідомив, що полонений ""азовець"" начебто повідомив, ніби в драмтеатрі був знищений штаб «АЗОВУ», розташований там під прикриттям мирних мешканців. ",,,,,,,,,"47.11, 37.57",12,
2022-03-16,civil,"""Величезна хмара"" на місці драмтеатру","Свідком цих подій стала мешканка Маріуполя Наталя Козуб, яка на той час жила біля драмтеатру та намагалася передати звістку про себе синові з «АЗОВУ»:
- Ми вийшли з підвалу, у якому переховувались, і побачили на місці театру величезну білу хмару, з якої виходили та виповзали силуети абсолютно білих людей. Першою я побачила дівчину у кухарському фартусі. Вона розповіла, що працювала на кухні і в них було завдання приготувати 800 порцій. ",,,Маріупольський драмтеатр після російського авіаудару. Фото: 0629 та Reuters,"47.096178, 37.547929",,,,,"47.11, 37.57",12,
,civil,"""Сука, віддай пігулку. Я в тебе її з горла видеру""","Потім бачила ще одну дівчину з неприродньо вивернутою ногою. Вона вила від болю і просила про допомогу. Я побігла в стоматологічну клініку навпроти театру і знайшла там одну-єдину пігулку знеболюючого. Дівчина проковтнула пігулку, я збиралась вийти, але почула її розповідь: «Азовці поставили на крыше театра миномёт и начали стрелять, тут же прилетел российский самолёт и сбросил бомбу». Це була неправда, і я готова була її просто вбити. Намагаючись дотягнутись до неї, кричала: «Сука, віддай пігулку. Я в тебе її з горла видеру». 
Того дня  мені пощастило виїхати до Запоріжжя, де на мене чекав чоловік.",,1603_dram_2.jpg,,,,,,,,,
